beta0,gamma,q_rate,q_scale,ve_s,ve_t,ve_l,v_cov_s,v_cov_t,v_cov_l,season_amp,mask_u,vent_u,online_u,club_u,disinfect_u,R_eff
0.3182706736910934,0.1008763004611628,0.27474981843564755,1.2257582658599464,0.4584293522180064,0.5465422593862196,0.3494445790287134,0.5072773646799544,0.5932257517752069,0.2664708305637149,0.3346453851612826,0.5870943244097476,0.38134349594223427,0.6257995796827764,0.2863397222095074,0.01988378132760003,1.1652125052349998
0.37898289795064277,0.23854309229541193,0.16163343935092794,1.322391880181715,0.4554116816240241,0.22409466179372828,0.5285160057919149,0.3162919802634758,0.27523323118333676,0.16108234354650414,0.3251076368300853,0.8179792377046681,0.02855016482084044,0.7913199753046013,0.3928011379267119,0.3001114277090397,1.653291042117838
0.2915259272267708,0.17285881883032528,0.14247456660370267,2.524305308593644,0.37531654044185814,0.32816259244717194,0.49674324129717085,0.2662135859177569,0.4913652893727777,0.0762285473584174,0.1763208906300774,0.05872029080647058,0.7660426729714196,0.7486513092648109,0.16843773827604078,0.5422929562186448,1.3202499533648258
0.1910282829048878,0.2466940527288699,0.25596234003238927,2.8550717885645547,0.2772882043803514,0.4684048547434024,0.4730746346328097,0.46166580205589386,0.456907664878324,0.32972819620128196,0.1824307971548848,0.9399846968718151,0.003851332220773577,0.8542480354155192,0.34236140048661134,0.25398957002854794,0.4727431197406663
0.19901168365388838,0.15327822511503444,0.2687663575434022,0.8573507519393591,0.5583353851883065,0.458986521982804,0.2175974890375066,0.23894485475708582,0.39429640575233205,0.1587987380222709,0.2785316554063605,0.08275415207066489,0.4798092153089594,0.04866189930765719,0.46951811229879004,0.14995956907248242,1.2016823287614697
0.2304867483074273,0.22482339807792046,0.19309407209208435,2.9114717844598834,0.33789550903070337,0.24645580261648667,0.5124028247215389,0.3780966938465193,0.14311326434594646,0.22086056684819522,0.24812394793295756,0.08665585557714767,0.5595732995457463,0.5605147314267408,0.026088890737923514,0.1639524281432985,0.9410024956376498
0.203467726482528,0.23370765959627626,0.1768387252076934,0.966929806925346,0.2869600407579759,0.5448164226747492,0.2211982640232546,0.3521150545768005,0.16385758026061326,0.514054391975196,0.17062643860397797,0.2902920763713552,0.47166627221576535,0.4785449293385202,0.8461609184933476,0.10044314367758014,1.0317562842714227
0.226547178570077,0.2574080469139991,0.20464877014027416,1.7815547921964483,0.30424370026130354,0.46445939942130116,0.401237138101235,0.45705698766334807,0.26203472922501336,0.22688465199395008,0.22738652079188645,0.09688118093905514,0.2726533879736387,0.11863694273964953,0.06413142612584177,0.794436740482767,0.940387376325211
0.3183540495761552,0.16915494233532918,0.2614125370648926,2.723496807530558,0.40416578791349356,0.37032268455766926,0.3893499123901326,0.4135013996464421,0.2587582838486366,0.4354360840668041,0.20603450838857573,0.7710078103738076,0.09345735346077813,0.011926485238032084,0.4245964480382516,0.9354877207537632,0.9464261581885922
0.2565801339765331,0.1201393717724015,0.08246864602494146,1.715542254370394,0.28928728154447353,0.4504679911600609,0.36647814403548146,0.4982652976316082,0.33286335601552325,0.5912695014588846,0.333338208352228,0.44895574733186017,0.04817415430693845,0.5487411497869197,0.6541330937758217,0.8661237017113513,2.078334592608612
0.21409048390892302,0.11463895278726732,0.28593964591341076,1.5510201852288739,0.46599254897971865,0.276077490238834,0.23171780747132817,0.5743093023713197,0.5056054102113497,0.5866004086933189,0.2656901875227619,0.7209741170204401,0.2873480737929674,0.2579319717889073,0.5649880193481993,0.649266430868494,0.6369280152751242
0.2807423270757321,0.15763213821883792,0.08905106578442004,1.898161920985793,0.2593936750736108,0.39070337706572045,0.40892586971571177,0.27339356780985213,0.4965794131021475,0.0990181115356482,0.1316082371199608,0.8611567698643454,0.6193789279022716,0.19834990739052896,0.10637847549450997,0.2687095782965984,2.3056696001441677
0.3209215811697923,0.1867395215274097,0.08216152610642173,2.103777147571352,0.40845459857806515,0.2191929385209379,0.33972175903912327,0.11567390000215753,0.485493389503538,0.13641212996052116,0.2667877814260226,0.47516489249779986,0.1482739759655277,0.6291657710564877,0.5894416914095895,0.26280529532251024,2.5505929936448997
0.2749467029750408,0.26162088468009764,0.28478877639905326,1.4606529747038839,0.3442160909986527,0.264566369416092,0.35091031945599205,0.522461447538086,0.28500905038547086,0.24697041299930528,0.1979623545003138,0.5375042118356883,0.23028879730765106,0.9590604987883289,0.41319073049736454,0.8006509582649105,0.5979421789352922
0.34401380730285325,0.2696405130701597,0.11228370022705429,2.38729656976824,0.4192454485334877,0.5012589463794879,0.48326824041999233,0.3329636626096947,0.2755381091782057,0.06115231842026876,0.2305018957127898,0.16239858331565288,0.13973259138454092,0.9296338751919903,0.11729076875363284,0.7923662375147906,1.4277949856136767
0.1509955322565433,0.14498838167239153,0.13854872750190517,1.2826212468110774,0.427550303489855,0.3666706574811526,0.5001743945982947,0.14570577422114023,0.30109181265495627,0.27606579479478394,0.15703134324221255,0.45930609947731565,0.7756336550657092,0.2877936186044465,0.6855104155585132,0.02231046011551477,1.1053262248500064
0.219393534634871,0.10622275336033436,0.2088721317625724,0.9193338984210695,0.46996003475638126,0.2677628326543667,0.23529771759767582,0.12064636047931662,0.3980028539905176,0.4263309722655346,0.25304245326951813,0.6475352310547516,0.3931920410864058,0.4536174055859218,0.7618337568260599,0.8890507760998493,1.0654231727837584
0.22464934964078492,0.2926865565133998,0.25929900233437597,1.6599508930658924,0.4209309501329577,0.22964133181262264,0.21570974999669726,0.1420520197112102,0.33207068392146744,0.2980027546743823,0.17156318052741448,0.16929250906288654,0.6240256075059023,0.5910572323155275,0.3475870995588422,0.3342445505007843,0.7005873287380942
0.1405365542667339,0.2146101991735237,0.2872380893213208,2.9156066255970288,0.5860806632691751,0.3985374741437354,0.4018768620078034,0.13504711234358469,0.31366175505252997,0.5771410920083784,0.2581825657009006,0.17560020285143366,0.17933692044202615,0.8994610391736907,0.9041007045292645,0.8141499586476629,0.33159824423121786
