day,new_s_dorm,new_s_class,new_s_canteen,new_s_club,new_s,new_t_dorm,new_t_class,new_t_canteen,new_t_club,new_t,new_l_dorm,new_l_class,new_l_canteen,new_l_club,new_l,new_total,new_dorm,new_class,new_canteen,new_club
28.0,375.5062818315005,121.924427095932,47.35179975884925,37.5636775324376,582.3461862187194,1.2020124779228283,3.8890576748917858,1.0597083134804859,0.6610908666493186,6.811869332944418,0.8868358633367958,0.3118714444108696,0.4381146361941181,0.16001081910536843,1.796832763047152,590.954888314711,377.5951301727601,126.12535621523466,48.84962270852385,38.384779218192286
29.0,415.4165236234204,134.97765220172377,52.42941348576689,41.582619265107525,644.4062085760186,1.3658645424544138,4.417859240898964,1.2054030649780632,0.7516326923336974,7.740759540665139,1.0104999555006142,0.3553348482789631,0.4995473213271074,0.18237079323213753,2.0477529183388223,654.1947210350226,417.7928881213754,139.7508462909017,54.13436387207206,42.51662275067336
30.0,455.7511108845209,148.20339973048067,57.577051045994814,45.65376217681371,707.1853238378102,1.5448421244170376,4.995012914493187,1.3649747078353467,0.8506788110743512,8.755508557819923,1.1465125684029023,0.40312863314316455,0.5672304648616202,0.20697940155090475,2.3238510679585915,718.2646834635887,458.44246557734084,153.601541278117,59.50925621869178,46.71142038943896
31.0,495.22792409353303,161.1916326675988,62.63603308065971,49.6506142403544,768.7062040821459,1.737582367166268,5.615942474302407,1.5373743138033171,0.957531640971017,9.848430796243008,1.2941866126604256,0.4550069837919663,0.6408677174260622,0.2337183927388615,2.6237797066173156,781.1784145850063,498.25969307335976,167.2625821256932,64.81427511188909,50.84186427406428
32.0,532.2821133777699,173.43962904530943,67.41162023218233,53.41815673138423,826.5515193866459,1.9415833303643588,6.272363749330624,1.7205682696150901,1.0708736336837619,11.005388982993834,1.4520248430450622,0.5104381762349375,0.7197684868581901,0.26232401417563045,2.9445555203138203,840.5014638899535,535.6757215511792,180.222430970875,69.8519569886556,54.75135437924362
33.0,565.1355054434576,184.3734843318912,71.68127655206172,56.77949801223155,877.9697643396421,2.153008898617482,6.951662427552641,1.9113574336511694,1.18865688083306,12.204685640654352,1.6175513845286011,0.568545302305855,0.8027624398236414,0.2923562416123283,3.2812153682704257,893.4556653485669,568.9060657266037,191.8936920617497,74.39539642553653,58.26051113467694
34.0,591.9237541176179,193.38821390611747,75.2101419046212,59.548261290608174,920.0703712189647,2.366585944367923,7.636577254012337,2.1052712101588575,1.3080412607165275,13.416475669255645,1.7871972142221357,0.6280660984878683,0.888138845874844,0.3231774900279748,3.626579648612823,937.1134265368332,596.077537276208,201.65285725861767,78.2035519606549,61.179480041352676
35.0,610.8775417684383,199.9054586783552,77.77334245669623,61.54639323347527,950.102736136965,2.5756522784439637,8.305378730806579,2.2965875836648393,1.4254131415209563,14.603031734436337,1.9562830163815357,0.6873472102758038,0.9736319869025917,0.3539486211486133,3.9712108347085446,968.6769787061098,615.4094770632638,208.8981846194376,81.04356202726366,63.32575499614484
36.0,620.5365235972273,203.44216973633897,79.18259115380093,62.62534417847126,965.7866286658384,2.772401494579121,8.93269157898064,2.4785207841359083,1.5365103727251994,15.720124230420868,2.1191376145808176,0.7443863829530223,1.0564717002134258,0.3836491880423357,4.303644885789601,985.8103977820489,625.4280627063872,213.11924769827263,82.71758363815026,64.5455037392388
37.0,619.9599858702131,203.6788776016819,79.31267909261705,62.68710102473409,965.6386435892462,2.9483501016111338,9.491040227022383,2.6436018657628457,1.636668550945371,16.71966074534173,2.269379680413691,0.7969323532764385,1.1335134573340628,0.4111270395639398,4.610952530588133,986.969256865176,625.1777156522379,213.96685018198073,83.08979441571395,64.7348966152434
