day,S_s,V_s,E_s,I_s,Q_s,R_s,S_t,V_t,E_t,I_t,Q_t,R_t,S_l,V_l,E_l,I_l,Q_l,R_l,N_s,N_t,N_l,S,V,E,I,Q,R,N
36.0,0.5765019215594178,12.669715217058013,1.1009923180504207e-07,3.0264960257928473e-07,64.21332836516657,25922.54045408345,133.69118495255535,165.6430507688532,1.6611404644058367e-06,4.5430365959355846e-06,4.43325423407449,1396.2325038403405,241.97167256102534,208.55808669394153,3.6852554642790003e-06,9.940504703445348e-06,1.3001138088064137,348.1701133104668,25999.99999999998,1700.0000000000005,800.0000000000002,376.2393594351401,386.87085267985276,5.456495160489879e-06,1.4786190901960218e-05,69.94669640804749,27666.943071234255,28499.99999999998
37.0,0.5765019183422366,12.669715173221771,6.088464195885588e-08,1.668246573272553e-07,55.268940028061735,25931.484842652648,133.69118457088834,165.64305044019846,9.188231685389908e-07,2.508387719644879e-06,3.8157391768606796,1396.8500223848423,241.9716715295605,208.55808613829714,2.044688065233849e-06,5.51751399610605e-06,1.1190203782181563,348.3512143917224,25999.99999999998,1700.0000000000007,800.0000000000003,376.2393580187911,386.8708517517174,3.0243958757316956e-06,8.192726373078184e-06,60.203699583140576,27676.68607942921,28499.99999999998
38.0,0.5765019165567197,12.66971514889291,3.3600298634118456e-08,9.182725170124536e-08,47.57039579818225,25939.183387010922,133.69118435903985,165.64305025777503,5.071730398856167e-07,1.382628311153253e-06,3.2842360797838888,1397.3815274136005,241.9716709559749,208.55808582930976,1.1317024299236097e-06,3.0554980321466213e-06,0.9631502872773192,348.50708874023786,25999.99999999998,1700.0000000000005,800.0000000000003,376.2393572315715,386.87085123597774,1.672475768443345e-06,4.52995359500112e-06,51.81778216524346,27685.072003164758,28499.99999999998
39.0,0.5765019155749125,12.669715135515132,1.8619353892995456e-08,5.0794791946940605e-08,40.9442370924898,25945.80954578699,133.69118424253602,165.64305015745322,2.810860373914927e-07,7.653668972089777e-07,2.826769670265062,1397.8389948832935,241.97167063995596,208.55808565907208,6.285044342644723e-07,1.6973961250225337e-06,0.8289920283333039,348.6412493467384,25999.99999999998,1700.0000000000007,800.0000000000002,376.23935679806686,386.8708509520404,9.282098255489604e-07,2.513557814178452e-06,44.59999879108817,27692.28979001702,28499.99999999998
40.0,0.5765019150285633,12.66971512807076,1.0284978196254269e-08,2.80184165868218e-08,35.241022749623205,25951.512760168956,133.69118417769997,165.6430501016227,1.552872120096811e-07,4.224753146752641e-07,2.4330227343576363,1398.232742408558,241.97167046387736,208.5580855642195,3.478785232611128e-07,9.400087777307377e-07,0.7135201706242709,348.7567225133919,25999.99999999998,1700.0000000000007,800.0000000000003,376.2393565566059,386.87085079391295,5.134507134670481e-07,1.3905025089928237e-06,38.38756565460511,27698.502225090906,28499.99999999998
41.0,0.576501914727781,12.669715123972402,5.700483588986792e-09,1.5513908324576374e-08,30.332233948280987,25956.421548991784,133.6911841420028,165.64305007088373,8.607659892021867e-08,2.340162333191577e-07,2.094122462610686,1398.5716430044106,241.97167036680847,208.55808551192905,1.9310813068205733e-07,5.219786684610263e-07,0.6141327575898705,348.8561106485861,25999.999999999978,1700.0000000000007,800.0000000000002,376.23935642353905,386.8708507067852,2.848852131912628e-07,7.715088101047603e-07,33.04048916848154,27703.849302644783,28499.999999999978
42.0,0.5765019145607371,12.669715121696315,3.155007120412546e-09,8.577956523634704e-09,26.107201707638787,25960.646581244353,133.6911841221768,165.6430500538115,4.7644282739624236e-08,1.294383651450337e-07,1.8024283622443253,1398.8633372846855,241.971670312851,208.55808548286245,1.0702471451025809e-07,2.893557177612314e-07,0.5285891753086156,348.9416546325978,25999.99999999998,1700.0000000000007,800.0000000000003,376.23935634958855,386.8708506583703,1.5782400437029486e-07,4.2737203942989975e-07,28.438219245191725,27708.451573161637,28499.99999999998
43.0,0.5765019144683328,12.669715120437244,1.7460863519250224e-09,4.746734673294532e-09,22.470671249765847,25964.283111708817,133.691184111209,165.6430500443671,2.6369736272796204e-08,7.164429807063594e-08,1.5513641108133271,1399.1144016355975,241.9716702829771,208.55808546676954,5.929742025114104e-08,1.6045038722315132e-07,0.4549608582734981,349.01528317223233,25999.99999999998,1700.000000000001,800.0000000000002,376.23935630865446,386.8708506315739,8.741324287586226e-08,2.368414199670818e-07,24.476996218852673,27712.412796516648,28499.99999999998
44.0,0.576501914417258,12.669715119741316,9.686027208065793e-10,2.629206733958803e-09,19.340698359255267,25967.41308460297,133.6911841051465,165.64305003914666,1.4628834986589866e-08,3.969083957943411e-08,1.3352723315011228,1399.330493469887,241.9716702664531,208.55808545786815,3.292416903749996e-08,8.902178335630925e-08,0.3915887181000871,349.07865543563304,25999.99999999998,1700.000000000001,800.0000000000003,376.23935628601686,386.8708506167561,4.85216067448964e-08,1.3134182966970215e-07,21.06755940885648,27715.82223350849,28499.99999999998
45.0,0.5765019143888649,12.669715119354443,5.348045912710114e-10,1.4536898982173893e-09,16.646683969728585,25970.107098994522,133.6911841017762,165.6430500362445,8.077573487525676e-09,2.1948743995174124e-08,1.1492789058659074,1399.5164869260877,241.97167025726228,208.55808545291714,1.8193856882058704e-08,4.929508105510968e-08,0.3370433587709788,349.133200863561,25999.99999999998,1700.0000000000007,800.0000000000003,376.23935627342735,386.8708506085161,2.6806234960855392e-08,7.269751494850119e-08,18.13300623436547,27718.75678678417,28499.99999999998
